date,open,high,low,close,volume
2018-06-12,0.25153086,0.25314748,0.23570171,0.23796056,6965552.69960748
2018-06-11,0.24960272,0.25307243,0.23895102,0.24990170,8837913.37696632
2018-06-10,0.28770508,0.28770508,0.24371882,0.24975197,13824111.54027463
2018-06-09,0.28779107,0.29090259,0.28761962,0.28779263,2713625.08974671
2018-06-08,0.29555137,0.29832257,0.28696144,0.28766550,5697928.24081941
2018-06-07,0.29537501,0.30151390,0.29480231,0.29635502,4156282.63350023
2018-06-06,0.29235482,0.29750104,0.28927362,0.29537501,4416245.97560997
2018-06-05,0.29004167,0.29544349,0.28407458,0.29235482,4581062.27637324
2018-06-04,0.30454362,0.30907739,0.28683054,0.28968601,6706134.05126998
2018-06-03,0.29791736,0.31060371,0.29640523,0.30440789,9094273.04294742
2018-06-02,0.28720788,0.30022634,0.28720788,0.29791859,6918267.73168886
2018-06-01,0.29730646,0.29804308,0.28196308,0.28822473,6910830.14177382
2018-05-31,0.27552178,0.30126997,0.27222738,0.29658588,9953240.40613083
2018-05-30,0.28207018,0.29073852,0.26641132,0.27531399,11131488.05215081
2018-05-29,0.25412184,0.28308731,0.24910974,0.28193303,11466225.69864618
2018-05-28,0.27572232,0.27836928,0.25378626,0.25427618,6458062.34003769
2018-05-27,0.28716782,0.28755252,0.27292680,0.27376324,9005335.67795613
2018-05-26,0.28771412,0.29540100,0.28679610,0.28741598,3977826.40145136
2018-05-25,0.29579423,0.30521885,0.28338876,0.28710309,6459069.11464661
2018-05-24,0.28077001,0.30217270,0.27860506,0.29570706,12826362.14968975
2018-05-23,0.30085791,0.30189894,0.27219308,0.27994617,8176299.49643592
2018-05-22,0.31971874,0.32156573,0.30062715,0.30163958,6598509.72630722
2018-05-21,0.32564149,0.32988414,0.31712981,0.32031736,4625254.53176848
2018-05-20,0.31677983,0.32957526,0.31671199,0.32537436,6541017.28282410
2018-05-19,0.31783054,0.32508660,0.31391599,0.31671622,3912077.38001679
2018-05-18,0.31368155,0.31980048,0.30632383,0.31857966,5336910.29844251
2018-05-17,0.33114602,0.33846218,0.31274386,0.31348001,5776403.58063754
2018-05-16,0.34409282,0.34448574,0.32070922,0.33152522,12936813.97452674
2018-05-15,0.36483671,0.37074673,0.34478461,0.34553494,7521219.12056861
2018-05-14,0.37065931,0.37875981,0.34365534,0.36448515,8239778.11561551
2018-05-13,0.35773965,0.37872975,0.35175994,0.37154658,6443645.65827654
2018-05-12,0.31202651,0.36212757,0.30033992,0.35583616,10126346.31050897
2018-05-11,0.35009560,0.35408123,0.29831983,0.31220220,14986383.82144838
2018-05-10,0.37150179,0.38340061,0.34996802,0.34996802,4386817.07474567
2018-05-09,0.38468624,0.38567877,0.36070807,0.37164854,6591387.81788604
2018-05-08,0.39338287,0.40845584,0.37577686,0.38476092,5667693.78290052
2018-05-07,0.40960909,0.41080025,0.37644403,0.39332268,6788950.47552597
2018-05-06,0.42783783,0.42999996,0.40118374,0.40971314,4535556.18298117
2018-05-05,0.42973929,0.43375035,0.42438872,0.42795987,3752862.36035549
2018-05-04,0.43580769,0.43802614,0.42055850,0.42799346,4919780.25621398
2018-05-03,0.43968521,0.44081734,0.42746703,0.43580766,10627033.62044737
2018-05-02,0.43979204,0.44780866,0.43034374,0.43968487,5470376.70718472
2018-05-01,0.42555461,0.44790883,0.39374364,0.44074481,14244773.41069780
2018-04-30,0.45511487,0.45743281,0.41466305,0.42397150,5612106.65694681
2018-04-29,0.42946798,0.45857305,0.42094163,0.45136267,9744173.71942775
2018-04-28,0.38554925,0.43478205,0.38554925,0.42950011,10281253.00856792
2018-04-27,0.38461642,0.42052458,0.38089578,0.39126127,11992303.65898398
2018-04-26,0.33706988,0.38461233,0.32865718,0.38461233,10125014.91159985
2018-04-25,0.39679268,0.39679268,0.32265247,0.33800243,19035112.50111793
2018-04-24,0.37235162,0.40739103,0.36996113,0.39943170,10743771.99213558
2018-04-23,0.36635756,0.37690606,0.36553844,0.37152177,3986040.45011011
2018-04-22,0.37225290,0.38530080,0.36371284,0.36682340,5176160.08374141
2018-04-21,0.39212072,0.39934260,0.34508537,0.37346561,9927601.90839655
2018-04-20,0.36753156,0.39877534,0.35256539,0.39247260,23063119.09851315
2018-04-19,0.35304645,0.37469464,0.34688522,0.36851538,19348827.50785014
2018-04-18,0.30182679,0.35537565,0.30150523,0.35257841,17336830.29702405
2018-04-17,0.28544410,0.32049351,0.28028132,0.30111646,18166848.88831992
